ABCIndicator,Month,ProductClassDesc,ProductLineDesc,SalesDistrictDesc,Shippable_$,Year
P,1,Underground,Enclosures & Drains,West Region,590.05,2017
P,1,Fiberglass Construction,Safety Products,Communication - West,0,2017
C,1,Fiberglass Construction,Safety Products,Communication - West,0,2017
A,1,Fiberglass Construction,Safety Products,Communication - West,435.77,2017
B,1,Fiberglass Construction,Safety Products,Communication - East,0,2017
A,1,Fiberglass Construction,Safety Products,Communication - East,1055.1,2017
D,1,Fiberglass Construction,Safety Products,CANADA UTILITY,0,2017
C,1,Fiberglass Construction,Safety Products,CANADA UTILITY,0,2017
B,1,Fiberglass Construction,Safety Products,CANADA UTILITY,19147.09,2017
A,1,Fiberglass Construction,Safety Products,CANADA UTILITY,0,2017
B,1,Fiber Splice Products,Safety Products,West Region,0,2017
P,1,Fiber Splice Products,Safety Products,Communication - West,0,2017
B,1,Fiber Splice Products,Safety Products,Communication - West,0,2017
P,1,Fiber Splice Products,Safety Products,Communication - East,0,2017
B,1,Fiber Splice Products,Safety Products,Communication - East,0,2017
A,1,Fiber Splice Products,Safety Products,Communication - East,0,2017
C,1,Transmission Insulators,Insulators,West Region,35452.65,2017
B,1,Transmission Insulators,Insulators,West Region,4504.5,2017
A,1,Transmission Insulators,Insulators,West Region,1202.46,2017
C,1,Transmission Insulators,Insulators,SOUTHEAST REGION,19813.98,2017
B,1,Transmission Insulators,Insulators,SOUTHEAST REGION,30458,2017
A,1,Transmission Insulators,Insulators,SOUTHEAST REGION,0,2017
D,1,Transmission Insulators,Insulators,SOUTH CENTRAL REGION,0,2017
C,1,Transmission Insulators,Insulators,SOUTH CENTRAL REGION,489542.22,2017
B,1,Fiberglass Construction,Safety Products,EuropeMidEastAfrica,1260.28,2017
B,1,Transmission Insulators,Insulators,SOUTH CENTRAL REGION,52120.36,2017
C,1,Fiberglass Construction,Safety Products,Greater China,12149.5,2017
1,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,16045.05,2017
B,1,Fiberglass Construction,Safety Products,West Region,2408.9,2017
A,1,Fiberglass Construction,Safety Products,West Region,3320.4,2017
P,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,0,2017
D,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,1329.6,2017
C,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,30492.36,2017
B,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,13912.2,2017
A,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,2761.34,2017
P,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,1400,2017
D,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,940.4,2017
C,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,52447.9,2017
B,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,6447.02,2017
A,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,7417.3,2017
1,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,5795.9,2017
P,1,Fiberglass Construction,Safety Products,North East Region,24106.4,2017
D,1,Fiberglass Construction,Safety Products,North East Region,4882.95,2017
C,1,Fiberglass Construction,Safety Products,North East Region,18677.9,2017
B,1,Fiberglass Construction,Safety Products,North East Region,6447.26,2017
A,1,Fiberglass Construction,Safety Products,North East Region,14353.84,2017
1,1,Fiberglass Construction,Safety Products,North East Region,866.05,2017
D,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,118.62,2017
C,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,4766.5,2017
B,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,6175.3,2017
A,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,36620.81,2017
C,1,Fiberglass Construction,Safety Products,Latin America,56.08,2017
C,1,Fiberglass Construction,Safety Products,West Region,9237.65,2017
A,1,Transmission Insulators,Insulators,SOUTH CENTRAL REGION,261.55,2017
B,1,Transmission Insulators,Insulators,North East Region,11437.78,2017
A,1,Distribution Insulators,Insulators,North East Region,0,2017
1,1,Distribution Insulators,Insulators,North East Region,20431.35,2017
D,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,0,2017
C,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,6679.62,2017
B,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,3551.52,2017
A,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,1765.17,2017
1,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,20225.25,2017
B,1,Distribution Insulators,Insulators,Latin America,6398.4,2017
A,1,Distribution Insulators,Insulators,Latin America,0,2017
1,1,Distribution Insulators,Insulators,Latin America,5060,2017
B,1,Distribution Insulators,Insulators,EuropeMidEastAfrica,1220,2017
1,1,Distribution Insulators,Insulators,Communication - West,627,2017
C,1,Distribution Insulators,Insulators,CANADA UTILITY,28789.79,2017
B,1,Distribution Insulators,Insulators,CANADA UTILITY,1483.51,2017
A,1,Distribution Insulators,Insulators,CANADA UTILITY,6891.17,2017
C,1,Distribution Insulators,Insulators,APAC,84,2017
B,1,Distribution Insulators,Insulators,APAC,9384,2017
A,1,Distribution Insulators,Insulators,APAC,0,2017
1,1,Distribution Insulators,Insulators,APAC,1792.5,2017
C,1,Teleprotection (TPR),Utility Automation,West Region,0,2017
C,1,Underground,Enclosures & Drains,West Region,124824.13,2017
B,1,Underground,Enclosures & Drains,West Region,3120,2017
P,1,Underground,Enclosures & Drains,SOUTHEAST REGION,7683.84,2017
B,1,Distribution Insulators,Insulators,North East Region,40209.84,2017
C,1,Transmission Insulators,Insulators,North East Region,255195.1,2017
C,1,Distribution Insulators,Insulators,North East Region,13053,2017
B,1,Distribution Insulators,Insulators,SOUTH CENTRAL REGION,2566.8,2017
A,1,Transmission Insulators,Insulators,North East Region,22012.68,2017
C,1,Transmission Insulators,Insulators,NORTH CENTRAL REGION,1823.28,2017
B,1,Transmission Insulators,Insulators,NORTH CENTRAL REGION,56302.48,2017
A,1,Transmission Insulators,Insulators,NORTH CENTRAL REGION,0,2017
D,1,Transmission Insulators,Insulators,Latin America,623.07,2017
C,1,Transmission Insulators,Insulators,Latin America,51324.15,2017
B,1,Transmission Insulators,Insulators,Latin America,7080.96,2017
A,1,Transmission Insulators,Insulators,Latin America,79595.52,2017
C,1,Transmission Insulators,Insulators,EuropeMidEastAfrica,0,2017
B,1,Transmission Insulators,Insulators,EuropeMidEastAfrica,1406.4,2017
C,1,Transmission Insulators,Insulators,Communication - West,0,2017
C,1,Transmission Insulators,Insulators,CANADA UTILITY,625.95,2017
C,1,Transmission Insulators,Insulators,APAC,50581.14,2017
B,1,Transmission Insulators,Insulators,APAC,36,2017
A,1,Transmission Insulators,Insulators,APAC,32670,2017
C,1,Distribution Insulators,Insulators,West Region,0,2017
B,1,Distribution Insulators,Insulators,West Region,3074.1,2017
A,1,Distribution Insulators,Insulators,West Region,4579,2017
1,1,Distribution Insulators,Insulators,West Region,18928.5,2017
C,1,Distribution Insulators,Insulators,SOUTHEAST REGION,0,2017
B,1,Distribution Insulators,Insulators,SOUTHEAST REGION,9866.16,2017
A,1,Distribution Insulators,Insulators,SOUTHEAST REGION,0,2017
1,1,Distribution Insulators,Insulators,SOUTHEAST REGION,209.01,2017
1,1,Distribution Insulators,Insulators,SOUTH CENTRAL REGION,25635.14,2017
C,1,Underground,Enclosures & Drains,SOUTHEAST REGION,6840,2017
D,1,Fiberglass Construction,Safety Products,West Region,217,2017
C,1,Gloves and Sleeves,Safety Products,APAC,0,2017
P,1,Resale,Safety Products,North East Region,4244.72,2017
D,1,Resale,Safety Products,North East Region,128.31,2017
C,1,Resale,Safety Products,North East Region,4077.57,2017
B,1,Resale,Safety Products,North East Region,10641.56,2017
A,1,Resale,Safety Products,North East Region,30171.55,2017
1,1,Resale,Safety Products,North East Region,13143.32,2017
C,1,Resale,Safety Products,NORTH CENTRAL REGION,569.47,2017
B,1,Resale,Safety Products,NORTH CENTRAL REGION,8865.27,2017
A,1,Resale,Safety Products,NORTH CENTRAL REGION,6529.32,2017
1,1,Resale,Safety Products,NORTH CENTRAL REGION,1014.37,2017
C,1,Resale,Safety Products,Latin America,703.32,2017
B,1,Resale,Safety Products,Latin America,8710.62,2017
A,1,Resale,Safety Products,Latin America,2348.26,2017
1,1,Resale,Safety Products,Latin America,2631.72,2017
C,1,Resale,Safety Products,House Accounts,0,2017
C,1,Resale,Safety Products,EuropeMidEastAfrica,38.97,2017
B,1,Resale,Safety Products,EuropeMidEastAfrica,2406.56,2017
A,1,Resale,Safety Products,EuropeMidEastAfrica,15739.81,2017
1,1,Resale,Safety Products,EuropeMidEastAfrica,1205.28,2017
C,1,Resale,Safety Products,Communication - West,35829.9,2017
B,1,Resale,Safety Products,Communication - West,0,2017
A,1,Resale,Safety Products,Communication - West,0,2017
C,1,Resale,Safety Products,Communication - East,0,2017
1,1,Resale,Safety Products,SOUTH CENTRAL REGION,5218.5,2017
A,1,Resale,Safety Products,Communication - East,0,2017
A,1,Resale,Safety Products,SOUTH CENTRAL REGION,3386.19,2017
C,1,Resale,Safety Products,SOUTH CENTRAL REGION,485,2017
B,1,Traditional Tools,Safety Products,Communication - East,124.98,2017
A,1,Traditional Tools,Safety Products,Communication - East,0,2017
1,1,Traditional Tools,Safety Products,Communication - East,873.09,2017
P,1,Traditional Tools,Safety Products,CANADA UTILITY,0,2017
D,1,Traditional Tools,Safety Products,CANADA UTILITY,0,2017
C,1,Traditional Tools,Safety Products,CANADA UTILITY,18946.21,2017
B,1,Traditional Tools,Safety Products,CANADA UTILITY,8597.94,2017
A,1,Traditional Tools,Safety Products,CANADA UTILITY,23930.38,2017
1,1,Traditional Tools,Safety Products,CANADA UTILITY,5498.41,2017
D,1,Traditional Tools,Safety Products,APAC,2388.88,2017
C,1,Traditional Tools,Safety Products,APAC,58038.84,2017
B,1,Traditional Tools,Safety Products,APAC,53435.48,2017
A,1,Traditional Tools,Safety Products,APAC,18858.43,2017
1,1,Traditional Tools,Safety Products,APAC,6843.06,2017
C,1,Resale,Safety Products,West Region,2661.76,2017
B,1,Resale,Safety Products,West Region,791.43,2017
A,1,Resale,Safety Products,West Region,14604.74,2017
1,1,Resale,Safety Products,West Region,2822.99,2017
B,1,Resale,Safety Products,SOUTHEAST REGION,2004.51,2017
A,1,Resale,Safety Products,SOUTHEAST REGION,13976.2,2017
1,1,Resale,Safety Products,SOUTHEAST REGION,1888.62,2017
P,1,Resale,Safety Products,SOUTH CENTRAL REGION,0,2017
D,1,Resale,Safety Products,SOUTH CENTRAL REGION,0,2017
B,1,Resale,Safety Products,SOUTH CENTRAL REGION,82.26,2017
P,1,Fiberglass Construction,Safety Products,West Region,2276,2017
P,1,Resale,Safety Products,CANADA UTILITY,122.63,2017
B,1,Resale,Safety Products,CANADA UTILITY,3333.69,2017
A,1,Gloves and Sleeves,Safety Products,West Region,0,2017
P,1,Gloves and Sleeves,Safety Products,SOUTHEAST REGION,5087.52,2017
C,1,Gloves and Sleeves,Safety Products,SOUTHEAST REGION,7954.25,2017
B,1,Gloves and Sleeves,Safety Products,SOUTHEAST REGION,633.7,2017
C,1,Gloves and Sleeves,Safety Products,SOUTH CENTRAL REGION,2521.8,2017
B,1,Gloves and Sleeves,Safety Products,SOUTH CENTRAL REGION,104.57,2017
P,1,Gloves and Sleeves,Safety Products,North East Region,536.48,2017
C,1,Gloves and Sleeves,Safety Products,North East Region,708.26,2017
B,1,Gloves and Sleeves,Safety Products,North East Region,2407.81,2017
A,1,Gloves and Sleeves,Safety Products,North East Region,0,2017
P,1,Gloves and Sleeves,Safety Products,NORTH CENTRAL REGION,1477.1,2017
C,1,Gloves and Sleeves,Safety Products,NORTH CENTRAL REGION,1189.17,2017
B,1,Gloves and Sleeves,Safety Products,NORTH CENTRAL REGION,0,2017
A,1,Gloves and Sleeves,Safety Products,NORTH CENTRAL REGION,0,2017
B,1,Gloves and Sleeves,Safety Products,Latin America,0,2017
P,1,Gloves and Sleeves,Safety Products,Greater China,457.58,2017
C,1,Gloves and Sleeves,Safety Products,Greater China,0,2017
C,1,Gloves and Sleeves,Safety Products,EuropeMidEastAfrica,689.65,2017
P,1,Gloves and Sleeves,Safety Products,CANADA UTILITY,0,2017
C,1,Gloves and Sleeves,Safety Products,CANADA UTILITY,1640.74,2017
B,1,Gloves and Sleeves,Safety Products,CANADA UTILITY,428.06,2017
A,1,Gloves and Sleeves,Safety Products,CANADA UTILITY,560.46,2017
P,1,Gloves and Sleeves,Safety Products,APAC,4335.3,2017
B,1,Gloves and Sleeves,Safety Products,West Region,1161.31,2017
C,1,Resale,Safety Products,CANADA UTILITY,1191.89,2017
C,1,Gloves and Sleeves,Safety Products,West Region,2582.3,2017
A,1,Power Load,Safety Products,APAC,8980.92,2017
A,1,Resale,Safety Products,CANADA UTILITY,6959.92,2017
1,1,Resale,Safety Products,CANADA UTILITY,1286.92,2017
C,1,Resale,Safety Products,APAC,95153.42,2017
B,1,Resale,Safety Products,APAC,90042.38,2017
A,1,Resale,Safety Products,APAC,27967.99,2017
##,1,Resale,Safety Products,APAC,0,2017
C,1,Power Load,Safety Products,West Region,0,2017
B,1,Power Load,Safety Products,West Region,1636.73,2017
A,1,Power Load,Safety Products,West Region,467.67,2017
A,1,Power Load,Safety Products,SOUTHEAST REGION,0,2017
B,1,Power Load,Safety Products,SOUTH CENTRAL REGION,578.6,2017
C,1,Power Load,Safety Products,North East Region,0,2017
B,1,Power Load,Safety Products,North East Region,150.95,2017
A,1,Power Load,Safety Products,North East Region,7140.79,2017
C,1,Power Load,Safety Products,NORTH CENTRAL REGION,0,2017
B,1,Power Load,Safety Products,NORTH CENTRAL REGION,695.52,2017
A,1,Power Load,Safety Products,NORTH CENTRAL REGION,72182.56,2017
A,1,Power Load,Safety Products,Communication - West,4726.66,2017
B,1,Power Load,Safety Products,Communication - East,1052.86,2017
B,1,Power Load,Safety Products,CANADA UTILITY,708.48,2017
A,1,Power Load,Safety Products,CANADA UTILITY,96.81,2017
C,1,Power Load,Safety Products,APAC,259.74,2017
B,1,Power Load,Safety Products,APAC,150.95,2017
P,1,Gloves and Sleeves,Safety Products,West Region,1742.28,2017
A,1,Traditional Tools,Safety Products,Communication - West,1466.25,2017
B,1,Underground,Enclosures & Drains,SOUTHEAST REGION,5689.28,2017
P,1,Underground,Enclosures & Drains,SOUTH CENTRAL REGION,1682.72,2017
1,1,Utility Anchors,Construction,Latin America,0,2017
C,1,Utility Anchors,Construction,Communication - West,0,2017
A,1,Utility Anchors,Construction,Communication - West,18507.51,2017
1,1,Utility Anchors,Construction,Communication - West,13522,2017
C,1,Utility Anchors,Construction,Communication - East,842.26,2017
B,1,Utility Anchors,Construction,Communication - East,3537.78,2017
A,1,Utility Anchors,Construction,Communication - East,23337.43,2017
1,1,Utility Anchors,Construction,Communication - East,14497.86,2017
P,1,Utility Anchors,Construction,CANADA UTILITY,712.95,2017
C,1,Utility Anchors,Construction,CANADA UTILITY,52170.66,2017
B,1,Utility Anchors,Construction,CANADA UTILITY,23507.99,2017
A,1,Utility Anchors,Construction,CANADA UTILITY,36039.34,2017
1,1,Utility Anchors,Construction,CANADA UTILITY,27060.72,2017
##,1,Utility Anchors,Construction,CANADA UTILITY,0,2017
C,1,Utility Anchors,Construction,APAC,7665.96,2017
A,1,Utility Anchors,Construction,APAC,6528,2017
P,1,Pole Line Hardware,Construction,West Region,5421.2,2017
D,1,Pole Line Hardware,Construction,West Region,0,2017
C,1,Pole Line Hardware,Construction,West Region,53997.23,2017
B,1,Pole Line Hardware,Construction,West Region,41727.58,2017
A,1,Pole Line Hardware,Construction,West Region,40980.98,2017
1,1,Pole Line Hardware,Construction,West Region,31301.75,2017
##,1,Pole Line Hardware,Construction,West Region,37800,2017
A,1,Utility Anchors,Construction,Latin America,0,2017
P,1,Pole Line Hardware,Construction,SOUTHEAST REGION,660.75,2017
B,1,Utility Anchors,Construction,Latin America,9461.2,2017
##,1,Utility Anchors,Construction,NORTH CENTRAL REGION,0,2017
P,1,Utility Anchors,Construction,SOUTHEAST REGION,0,2017
C,1,Utility Anchors,Construction,SOUTHEAST REGION,11336.8,2017
B,1,Utility Anchors,Construction,SOUTHEAST REGION,14540.53,2017
A,1,Utility Anchors,Construction,SOUTHEAST REGION,56078.1,2017
1,1,Utility Anchors,Construction,SOUTHEAST REGION,42449.75,2017
##,1,Utility Anchors,Construction,SOUTHEAST REGION,119,2017
P,1,Utility Anchors,Construction,SOUTH CENTRAL REGION,669.94,2017
C,1,Utility Anchors,Construction,SOUTH CENTRAL REGION,0,2017
B,1,Utility Anchors,Construction,SOUTH CENTRAL REGION,9163.46,2017
A,1,Utility Anchors,Construction,SOUTH CENTRAL REGION,55775.36,2017
1,1,Utility Anchors,Construction,SOUTH CENTRAL REGION,17893.16,2017
##,1,Utility Anchors,Construction,SOUTH CENTRAL REGION,1640.28,2017
P,1,Utility Anchors,Construction,North East Region,183.08,2017
D,1,Utility Anchors,Construction,North East Region,0,2017
C,1,Utility Anchors,Construction,North East Region,6392.66,2017
B,1,Utility Anchors,Construction,North East Region,18036.66,2017
A,1,Utility Anchors,Construction,North East Region,80616.42,2017
1,1,Utility Anchors,Construction,North East Region,26345.23,2017
P,1,Utility Anchors,Construction,NORTH CENTRAL REGION,637.52,2017
C,1,Utility Anchors,Construction,NORTH CENTRAL REGION,5847.29,2017
B,1,Utility Anchors,Construction,NORTH CENTRAL REGION,6973,2017
A,1,Utility Anchors,Construction,NORTH CENTRAL REGION,83991.7,2017
1,1,Utility Anchors,Construction,NORTH CENTRAL REGION,89026.69,2017
C,1,Utility Anchors,Construction,Latin America,0,2017
##,1,Utility Anchors,Construction,West Region,0,2017
D,1,Pole Line Hardware,Construction,SOUTHEAST REGION,113.71,2017
B,1,Pole Line Hardware,Construction,SOUTHEAST REGION,14477.84,2017
C,1,Pole Line Hardware,Construction,Greater China,29022,2017
P,1,Pole Line Hardware,Construction,EuropeMidEastAfrica,9750,2017
C,1,Pole Line Hardware,Construction,EuropeMidEastAfrica,0,2017
B,1,Pole Line Hardware,Construction,EuropeMidEastAfrica,770.88,2017
A,1,Pole Line Hardware,Construction,EuropeMidEastAfrica,15525,2017
1,1,Pole Line Hardware,Construction,EuropeMidEastAfrica,1965,2017
P,1,Pole Line Hardware,Construction,Communication - West,567,2017
D,1,Pole Line Hardware,Construction,Communication - West,361.6,2017
C,1,Pole Line Hardware,Construction,Communication - West,1998.5,2017
B,1,Pole Line Hardware,Construction,Communication - West,9794.5,2017
A,1,Pole Line Hardware,Construction,Communication - West,4749.67,2017
1,1,Pole Line Hardware,Construction,Communication - West,13846.4,2017
C,1,Pole Line Hardware,Construction,Communication - East,0,2017
B,1,Pole Line Hardware,Construction,Communication - East,4309.97,2017
A,1,Pole Line Hardware,Construction,Communication - East,10027.92,2017
1,1,Pole Line Hardware,Construction,Communication - East,599.4,2017
##,1,Pole Line Hardware,Construction,Communication - East,432.6,2017
P,1,Pole Line Hardware,Construction,CANADA UTILITY,3261.87,2017
C,1,Pole Line Hardware,Construction,CANADA UTILITY,13514.34,2017
B,1,Pole Line Hardware,Construction,CANADA UTILITY,18322.61,2017
A,1,Pole Line Hardware,Construction,CANADA UTILITY,14281,2017
1,1,Pole Line Hardware,Construction,CANADA UTILITY,38342.28,2017
B,1,Pole Line Hardware,Construction,APAC,0,2017
1,1,Pole Line Hardware,Construction,Latin America,4414.5,2017
C,1,Pole Line Hardware,Construction,SOUTHEAST REGION,4702.24,2017
A,1,Pole Line Hardware,Construction,Latin America,79852.58,2017
C,1,Pole Line Hardware,Construction,Latin America,478.84,2017
A,1,Pole Line Hardware,Construction,SOUTHEAST REGION,18036.81,2017
1,1,Pole Line Hardware,Construction,SOUTHEAST REGION,24414.14,2017
##,1,Pole Line Hardware,Construction,SOUTHEAST REGION,0,2017
P,1,Pole Line Hardware,Construction,SOUTH CENTRAL REGION,538.16,2017
C,1,Pole Line Hardware,Construction,SOUTH CENTRAL REGION,11362.37,2017
B,1,Pole Line Hardware,Construction,SOUTH CENTRAL REGION,6534.7,2017
A,1,Pole Line Hardware,Construction,SOUTH CENTRAL REGION,71082.16,2017
1,1,Pole Line Hardware,Construction,SOUTH CENTRAL REGION,61552.96,2017
##,1,Pole Line Hardware,Construction,SOUTH CENTRAL REGION,0,2017
P,1,Pole Line Hardware,Construction,North East Region,817.2,2017
D,1,Pole Line Hardware,Construction,North East Region,0,2017
C,1,Pole Line Hardware,Construction,North East Region,14845.8,2017
B,1,Pole Line Hardware,Construction,North East Region,53572.18,2017
A,1,Pole Line Hardware,Construction,North East Region,56879.06,2017
1,1,Pole Line Hardware,Construction,North East Region,35790.19,2017
##,1,Pole Line Hardware,Construction,North East Region,0,2017
P,1,Pole Line Hardware,Construction,NORTH CENTRAL REGION,0,2017
D,1,Pole Line Hardware,Construction,NORTH CENTRAL REGION,0,2017
C,1,Pole Line Hardware,Construction,NORTH CENTRAL REGION,3234.13,2017
B,1,Pole Line Hardware,Construction,NORTH CENTRAL REGION,32756.66,2017
A,1,Pole Line Hardware,Construction,NORTH CENTRAL REGION,90559.64,2017
1,1,Pole Line Hardware,Construction,NORTH CENTRAL REGION,93482.18,2017
P,1,Pole Line Hardware,Construction,Latin America,609.6,2017
B,1,Pole Line Hardware,Construction,Latin America,4662.1,2017
A,1,Underground,Enclosures & Drains,SOUTHEAST REGION,15958.28,2017
1,1,Utility Anchors,Construction,West Region,1359.25,2017
B,1,Utility Anchors,Construction,West Region,26196.94,2017
B,1,Underground,Enclosures & Drains,Communication - West,15744.96,2017
1,1,Underground,Enclosures & Drains,Communication - West,6918.8,2017
P,1,Underground,Enclosures & Drains,Communication - East,74743.29,2017
C,1,Underground,Enclosures & Drains,Communication - East,493939.88,2017
B,1,Underground,Enclosures & Drains,Communication - East,902.79,2017
A,1,Underground,Enclosures & Drains,Communication - East,1315.4,2017
1,1,Underground,Enclosures & Drains,Communication - East,0,2017
##,1,Underground,Enclosures & Drains,Communication - East,0,2017
C,1,Underground,Enclosures & Drains,Communication - EMEA,0,2017
P,1,Underground,Enclosures & Drains,CANADA UTILITY,0,2017
C,1,Underground,Enclosures & Drains,CANADA UTILITY,942.26,2017
C,1,Underground,Enclosures & Drains,APAC,0,2017
C,1,Hot Box,Enclosures & Drains,North East Region,0,2017
D,1,Hot Box,Enclosures & Drains,LC ENCLOSURES,0,2017
C,1,Hot Box,Enclosures & Drains,LC ENCLOSURES,2860,2017
B,1,Hot Box,Enclosures & Drains,LC ENCLOSURES,0,2017
A,1,Hot Box,Enclosures & Drains,LC ENCLOSURES,0,2017
##,1,Hot Box,Enclosures & Drains,LC ENCLOSURES,0,2017
P,1,Drain,Enclosures & Drains,LC ENCLOSURES,1125.67,2017
C,1,Drain,Enclosures & Drains,LC ENCLOSURES,45374.36,2017
B,1,Drain,Enclosures & Drains,LC ENCLOSURES,29826.28,2017
A,1,Drain,Enclosures & Drains,LC ENCLOSURES,19005.48,2017
1,1,Drain,Enclosures & Drains,LC ENCLOSURES,2216.04,2017
C,1,Underground,Enclosures & Drains,Communication - West,35252.64,2017
D,1,DNU-Small Underground Enclosures,Enclosures & Drains,Greater China,258.31,2017
D,1,Underground,Enclosures & Drains,Communication - West,0,2017
1,1,Underground,Enclosures & Drains,House Accounts,41209.93,2017
C,1,Underground,Enclosures & Drains,SOUTH CENTRAL REGION,529.68,2017
B,1,Underground,Enclosures & Drains,SOUTH CENTRAL REGION,12910.41,2017
A,1,Underground,Enclosures & Drains,SOUTH CENTRAL REGION,0,2017
1,1,Underground,Enclosures & Drains,SOUTH CENTRAL REGION,0,2017
C,1,Underground,Enclosures & Drains,North East Region,0,2017
B,1,Underground,Enclosures & Drains,North East Region,16251.17,2017
A,1,Underground,Enclosures & Drains,North East Region,0,2017
1,1,Underground,Enclosures & Drains,North East Region,0,2017
C,1,Underground,Enclosures & Drains,NORTH CENTRAL REGION,8084.27,2017
B,1,Underground,Enclosures & Drains,NORTH CENTRAL REGION,0,2017
A,1,Underground,Enclosures & Drains,NORTH CENTRAL REGION,0,2017
1,1,Underground,Enclosures & Drains,NORTH CENTRAL REGION,2097.9,2017
P,1,Underground,Enclosures & Drains,LC ENCLOSURES,3560.4,2017
D,1,Underground,Enclosures & Drains,LC ENCLOSURES,0,2017
C,1,Underground,Enclosures & Drains,LC ENCLOSURES,128818.62,2017
B,1,Underground,Enclosures & Drains,LC ENCLOSURES,3665.23,2017
A,1,Underground,Enclosures & Drains,LC ENCLOSURES,881.08,2017
1,1,Underground,Enclosures & Drains,LC ENCLOSURES,38199.13,2017
##,1,Underground,Enclosures & Drains,LC ENCLOSURES,1044.78,2017
P,1,Underground,Enclosures & Drains,House Accounts,1799.5,2017
C,1,Underground,Enclosures & Drains,House Accounts,33108.59,2017
B,1,Underground,Enclosures & Drains,House Accounts,2890.2,2017
A,1,Underground,Enclosures & Drains,House Accounts,0,2017
P,1,Underground,Enclosures & Drains,Communication - West,0,2017
A,1,Utility Anchors,Construction,West Region,13513.98,2017
C,1,DNU-Small Underground Enclosures,Enclosures & Drains,Greater China,5094.63,2017
D,1,DNU-Large Underground Enclosures,Enclosures & Drains,Greater China,663.01,2017
B,1,Above Ground,Enclosures & Drains,North East Region,0,2017
C,1,Above Ground,Enclosures & Drains,NORTH CENTRAL REGION,10631.75,2017
B,1,Above Ground,Enclosures & Drains,NORTH CENTRAL REGION,20326.5,2017
A,1,Above Ground,Enclosures & Drains,NORTH CENTRAL REGION,0,2017
P,1,Above Ground,Enclosures & Drains,LC ENCLOSURES,8904,2017
C,1,Above Ground,Enclosures & Drains,LC ENCLOSURES,480,2017
B,1,Above Ground,Enclosures & Drains,LC ENCLOSURES,15694.48,2017
A,1,Above Ground,Enclosures & Drains,LC ENCLOSURES,0,2017
C,1,Above Ground,Enclosures & Drains,House Accounts,0,2017
B,1,Above Ground,Enclosures & Drains,House Accounts,0,2017
P,1,Above Ground,Enclosures & Drains,Communication - West,0,2017
C,1,Above Ground,Enclosures & Drains,Communication - West,0,2017
B,1,Above Ground,Enclosures & Drains,Communication - West,0,2017
A,1,Above Ground,Enclosures & Drains,Communication - West,167,2017
1,1,Above Ground,Enclosures & Drains,Communication - West,326,2017
C,1,Above Ground,Enclosures & Drains,Communication - East,492,2017
B,1,Above Ground,Enclosures & Drains,Communication - East,0,2017
A,1,Above Ground,Enclosures & Drains,Communication - East,0,2017
1,1,Above Ground,Enclosures & Drains,Communication - East,2119,2017
C,1,Above Ground,Enclosures & Drains,CANADA UTILITY,390,2017
P,1,Utility Anchors,Construction,West Region,10468.89,2017
D,1,Utility Anchors,Construction,West Region,0,2017
C,1,Utility Anchors,Construction,West Region,27440.48,2017
C,1,Above Ground,Enclosures & Drains,North East Region,0,2017
1,1,DNU-Small Underground Enclosures,Enclosures & Drains,Greater China,0,2017
A,1,Above Ground,Enclosures & Drains,SOUTH CENTRAL REGION,0,2017
C,1,Above Ground,Enclosures & Drains,SOUTH CENTRAL REGION,633.36,2017
C,1,DNU-Large Underground Enclosures,Enclosures & Drains,Greater China,0,2017
C,1,Accessories,Enclosures & Drains,NORTH CENTRAL REGION,0,2017
C,1,Accessories,Enclosures & Drains,LC ENCLOSURES,0,2017
B,1,Accessories,Enclosures & Drains,LC ENCLOSURES,0,2017
A,1,Accessories,Enclosures & Drains,LC ENCLOSURES,160.17,2017
C,1,Accessories,Enclosures & Drains,House Accounts,0,2017
A,1,Accessories,Enclosures & Drains,House Accounts,0,2017
C,1,Accessories,Enclosures & Drains,Communication - West,0,2017
B,1,Accessories,Enclosures & Drains,Communication - West,0,2017
A,1,Accessories,Enclosures & Drains,Communication - West,0,2017
1,1,Accessories,Enclosures & Drains,Communication - West,79.8,2017
C,1,Accessories,Enclosures & Drains,Communication - East,0,2017
